po_1,po_2,export_country,import_country,prod_cat,mode,ori_port,dest_port,size,carrier,vessel,container_no,etd,eta,atd,ata,date,year,month,day,wday,month_sn,day_sn,request_date,confirm_date,pickup_date,empty_arrival_date,arrival_time,loading_date,gatein_date
4513880061,4513879520,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,40',ONE,CALLAO BRIDGE,FDCU0639922,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-20 00:00:00,2019,2.0,20,2,201911,354,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-20 00:00:00,2019-11-22 00:00:00,1900-01-01 16:30:00,2019-11-23 00:00:00,2019-11-24 00:00:00
4513880063,4513879087,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,40',ONE,CALLAO BRIDGE,TLLU5669401,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-20 00:00:00,2019,2.0,20,2,201911,354,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-20 00:00:00,2019-11-21 00:00:00,1900-01-01 23:47:00,2019-11-22 00:00:00,2019-11-24 00:00:00
4513880065,4513880066,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,40',ONE,CALLAO BRIDGE,ONEU0094876,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-21 00:00:00,2019,3.0,21,3,201911,355,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-21 00:00:00,2019-11-22 00:00:00,1900-01-01 11:43:00,2019-11-22 00:00:00,2019-11-24 00:00:00
4513880068,4513878808,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,40',ONE,CALLAO BRIDGE,TLLU5573001,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-21 00:00:00,2019,3.0,21,3,201911,355,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-21 00:00:00,2019-11-22 00:00:00,1900-01-01 03:27:00,2019-11-22 00:00:00,2019-11-24 00:00:00
4513880070,4513876052,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,40',ONE,CALLAO BRIDGE,FFAU1479354,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-21 00:00:00,2019,3.0,21,3,201911,355,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-21 00:00:00,2019-11-22 00:00:00,1900-01-01 16:26:00,2019-11-22 00:00:00,2019-11-24 00:00:00
4513880072,4513879088,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,40',ONE,CALLAO BRIDGE,ONEU0119932,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-21 00:00:00,2019,3.0,21,3,201911,355,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-21 00:00:00,2019-11-22 00:00:00,1900-01-01 14:42:00,2019-11-22 00:00:00,2019-11-24 00:00:00
4513880074,4513880075,PH,TH,Fabric Care,SEA,MICP,LAEM CHABANG,20',ONE,CALLAO BRIDGE,KKTU8077697,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-28 00:00:00,2019-12-03 00:00:00,2019-11-21 00:00:00,2019,3.0,21,3,201911,355,2019-11-19 00:00:00,2019-11-19 00:00:00,2019-11-21 00:00:00,2019-11-22 00:00:00,1900-01-01 16:06:00,2019-11-22 00:00:00,2019-11-23 00:00:00
4512972018,4512968028,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:00:00,2019,1.0,1,1,201901,31,2019-01-01 00:00:00,2019-01-01 00:00:00,,,,,
4512972020,4512970786,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:00:00,2019,1.0,1,1,201901,31,2019-01-01 00:00:00,2019-01-01 00:00:00,,,,,
4502339642,4512972016,PH,KR,Baby Care,Air,MANILA,KOREA,Pallets (for AF),ASIANA AIRLINES,OZ704,,2019-06-18 00:00:00,2019-06-18 00:00:00,2019-06-18 00:00:00,2019-06-18 00:00:00,2019-06-18 00:00:00,2019,1.0,18,1,201906,199,2019-06-18 00:00:00,2019-06-18 00:00:00,,,,,
4886863013,4886863013,PH,KR,Baby Care,Air,MANILA,KOREA,Pallets (for AF),ASIANA AIRLINES,OZ702,,2019-07-03 00:00:00,2019-07-03 00:00:00,2019-07-03 00:00:00,2019-07-03 00:00:00,2019-07-03 00:00:00,2019,2.0,3,2,201907,214,2019-07-03 00:00:00,2019-07-03 00:00:00,,,,,
4513488474,,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-07-26 00:00:00,2019-07-26 00:00:00,2019-07-26 00:00:00,2019-07-26 00:00:00,2019-07-26 00:00:00,2019,4.0,26,4,201907,237,2019-07-26 00:00:00,2019-07-26 00:00:00,,,,,
4513488794,4513449781,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-07-18 00:00:00,2019-07-18 00:00:00,2019-07-18 00:00:00,2019-07-18 00:00:00,2019-07-18 00:00:00,2019,3.0,18,3,201907,229,2019-07-18 00:00:00,2019-07-18 00:00:00,,,,,
4513488794,4513449781,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC,5J929,,2019-06-19 00:00:00,2019-06-19 00:00:00,2019-06-19 00:00:00,2019-06-19 00:00:00,2019-06-19 00:00:00,2019,2.0,19,2,201906,200,2019-06-19 00:00:00,2019-06-19 00:00:00,,,,,
4513509522,4513509162,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC AIR,5J929,,2019-07-25 00:00:00,2019-07-25 00:00:00,2019-07-25 00:00:00,2019-07-25 00:00:00,2019-07-25 00:00:00,2019,3.0,25,3,201907,236,2019-07-25 00:00:00,2019-07-25 00:00:00,,,,,
4513509524,4513508996,PH,TH,Fabric Care,Air,MANILA,THAILAND,Pallets (for AF),CEBU PACIFIC AIR,5J929,,2019-07-25 00:00:00,2019-07-25 00:00:00,2019-07-25 00:00:00,2019-07-25 00:00:00,2019-07-25 00:00:00,2019,3.0,25,3,201907,236,2019-07-25 00:00:00,2019-07-25 00:00:00,,,,,
